"mfr_id","user_id","city_name","mfr_distance","start_point_lng","start_point_lat","end_point_lng","end_point_lat","start_type","end_type","walk","bike","bus","car_pooling","car","motorbike","frequency","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","created_at","deleted_at"
1168,1001,"Palermo",0,13.3574484196804,38.1245391349555,13.3571015875127,38.125471102954,1,2,0,80,80,0,0,70,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-04 10:08:40.335355",NULL
4040,4560,"Torino",5,7.644872,45.0367145,7.6715035,45.0733959,1,2,0,10000,10000,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-11-13 07:42:50.843103",NULL
NULL,2879,"Teresina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2975,2660,"Roma",8,12.5535767,41.8609706,12.4797261,41.9001157,1,2,2000,0,3000,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-08-05 12:35:02.077695","2019-08-26 05:45:27.615892"
NULL,3758,"Gliwice",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1485,1280,"Palermo",2,13.3374245880488,38.1289348870009,13.3497445535145,38.1166292836743,1,2,39,9,39,0,80,80,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-26 09:05:03.748281",NULL
1760,1500,"Palermo",5,13.3421483046417,38.0956220273805,13.3243019728509,38.138265180385,1,2,10000,0,10000,0,8000,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-05-08 21:03:08.752011",NULL
712,627,"Palermo",3,13.3561319,38.1306235,13.345102,38.1019017,1,4,20,100,20,10,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-12-16 09:35:16.568198",NULL
3919,2888,"Palermo",1,13.3517136,38.1219393,13.3606376,38.1219554,0,0,8000,10000,0,0,0,0,0,false,false,false,false,false,false,false,"13:54","14:3","2019-10-30 13:53:15.19505",NULL
753,663,"Gent",39,3.732296,51.0756045,4.2502816,51.2105006,1,2,10,100,100,10,10,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-12-21 13:20:23.387927","2019-01-10 07:03:35.771821"
2317,1940,"Hamburg",0,9.9865841,53.554202,9.9896769,53.5512791,1,2,0,10000,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-05-29 11:22:38.188534",NULL
NULL,4718,"Roma",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2787,2483,"Cagliari",0,9.1165181,39.2284635,9.11669500172138,39.2304772833985,1,0,5000,1000,1000,0,5000,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-07-04 15:48:34.509707",NULL
2709,2131,"Teresina",0,-42.7864979580044,-5.06089734446095,-42.7841594070196,-5.06283336016566,1,0,5000,8000,0,0,4000,0,1,true,false,false,true,true,true,true,"20:0","20:20","2019-06-25 11:59:32.951228",NULL
NULL,2002,"Palermo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3516,59,"Palermo",1,13.3025575,38.1745424,13.3096298,38.1673558,1,0,8000,5000,8000,0,0,3000,1,false,false,false,true,true,false,false,"13:11","13:32","2019-10-03 12:02:47.103507",NULL
NULL,4490,"Fundão",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1676,795,"Palermo",1,13.3549506,38.1239734,13.3586861,38.1280374,10,3,10000,0,0,0,0,0,1,true,true,true,true,true,true,true,"9:00","19:0","2019-04-23 22:50:13.618804",NULL
1494,1288,"Matera",2,16.5905908,40.6655413,16.6099972,40.661685,1,2,0,0,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-27 19:56:55.771162",NULL
999,831,"Palermo",0,13.3638096,38.1163497,13.3612772,38.1188422,1,0,9000,0,1000,0,4000,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-02-19 17:15:08.475205",NULL
1366,1185,"Palermo",3,13.3279571201803,38.1521150814294,13.3441545,38.124689,1,2,0,0,0,0,100,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-10 12:08:55.165813",NULL
2559,2111,"Teresina",2,-42.7883366,-5.08439249999999,-42.8058368,-5.0874636,1,2,1000,0,8000,0,3000,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-06-13 22:42:05.196536",NULL
3375,3844,"Gliwice",0,18.6839807,50.3206856,18.6840749,50.320605,1,2,5000,0,10000,0,0,0,1,true,true,true,true,true,false,false,"9:5","9:9","2019-09-23 07:08:53.441891",NULL
1638,1389,"Palermo",0,13.151251232523,38.1756353730264,13.1513739986317,38.1757367765909,1,2,10000,0,0,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-04-14 11:57:17.383531",NULL
742,654,"Gent",4,3.7217413,51.0471897,3.7278446,51.0827192,1,4,0,100,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-12-19 17:44:21.856551",NULL
1456,1260,"Fundão",286,77.1733901,31.1048294,77.3910265,28.5355161,1,2,0,0,90,0,0,0,1,true,true,true,true,true,false,false,"9:00","17:00","2019-03-22 08:30:02.265048",NULL
NULL,3416,"Fundão",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
